class,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,23x,23y,23z,24x,24y,24z
straight_ahead,0.599402964,0.561333895,-0.092722833,0.399643719,0.55670774,-0.109721981,0.739685297,0.569891572,-0.066611879,0.264872521,0.554856181,-0.105032802,0.878923297,0.558812499,-0.328735948,0.138394326,0.530414939,-0.351471573,0.576923132,0.939879358,-0.001358491,0.451223522,0.947440028,0.002804155
straight_ahead,0.596023083,0.561310768,0.001247092,0.398225248,0.558740199,-0.050772775,0.730917096,0.567488015,-0.008436671,0.263739049,0.558199108,-0.095677786,0.819237351,0.442443401,-0.213511378,0.171078593,0.423609555,-0.329676032,0.576793134,0.939233899,0.00028383,0.447761923,0.943669856,0.00122505
straight_ahead,0.593132138,0.561345816,0.017317396,0.39501971,0.56037271,-0.03049865,0.724782526,0.567341566,-0.02229904,0.261803597,0.559861422,-0.101708576,0.797771811,0.421268195,-0.24226892,0.186567172,0.399638474,-0.36021018,0.576639056,0.939025939,0.002380414,0.445788532,0.942587495,-0.000827076
straight_ahead,0.5920977,0.5618276,-0.009347893,0.393448651,0.561786592,-0.024690051,0.721947551,0.567491293,-0.045291755,0.261837363,0.565238535,-0.029554257,0.752720237,0.384896457,-0.252763331,0.23289898,0.381985545,-0.123410106,0.575547159,0.93801862,-0.000778508,0.442662239,0.939501107,0.002470511
straight_ahead,0.591061831,0.561738014,-0.014699358,0.391722798,0.56247133,-0.017249089,0.721396327,0.567525208,-0.092656568,0.262397826,0.567759454,-0.042963047,0.734471142,0.380934924,-0.275980741,0.25453642,0.378153443,-0.221438691,0.574935555,0.936145842,-0.001520877,0.44168219,0.937292635,0.0031931
straight_ahead,0.590756595,0.56068486,-0.010939175,0.39190352,0.56418258,-0.007487461,0.721610188,0.566535532,-0.16456908,0.263438046,0.571175337,-0.218287319,0.680175066,0.39047569,-0.319885164,0.290107369,0.388938248,-0.482086122,0.5745188,0.934091032,-0.001120086,0.441483498,0.935644031,0.002634443
straight_ahead,0.590735674,0.560065567,-0.015873944,0.392042726,0.565164745,-0.021812756,0.721360028,0.566546381,-0.169508398,0.263947517,0.574901581,-0.276752144,0.672158837,0.397311777,-0.31607914,0.29774195,0.397171706,-0.548930943,0.573652804,0.931281924,0.001410127,0.440808862,0.932119787,-0.000161207
straight_ahead,0.590736926,0.560008168,-0.006755388,0.392140687,0.565346539,0.006628479,0.72186929,0.566620886,-0.145874396,0.266113698,0.575615287,-0.207898378,0.703191638,0.389187902,-0.314263999,0.285113007,0.387318492,-0.458407462,0.573664308,0.930402517,3.68E-05,0.440959513,0.931496024,0.001212814
straight_ahead,0.589640498,0.561360002,-0.010849176,0.391394824,0.565334976,-0.010056208,0.720585525,0.569190085,-0.084761046,0.262752473,0.574377835,-0.128758222,0.718804717,0.399117768,-0.282699943,0.242283851,0.387029618,-0.378051847,0.573659897,0.930530548,0.000261209,0.441079319,0.932952106,0.001069529
straight_ahead,0.589662671,0.563580275,0.005846092,0.390951246,0.566122293,-0.012480678,0.720936537,0.56979084,-0.06788104,0.260259271,0.56903851,-0.112754241,0.753025711,0.405825555,-0.281728208,0.20760031,0.387170345,-0.367390364,0.573716283,0.93166244,0.001234537,0.441061556,0.934736192,0.000234669
