class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
straight_ahead,0.475365579,0.359976292,-0.491573423,0.999998093,0.487487972,0.326492608,-0.455643088,0.999996305,0.496012598,0.327458501,-0.455668837,0.999995708,0.503578305,0.328681469,-0.45566994,0.999994993,0.458416045,0.32513845,-0.460258633,0.999997377,0.447809875,0.325260282,-0.46021539,0.999997616,0.437125921,0.325965613,-0.46036759,0.999997616,0.512474477,0.341351509,-0.174370795,0.999997139,0.420817941,0.336402476,-0.194758013,0.999999166,0.491404146,0.392694831,-0.38348484,0.999998331,0.456356913,0.391082764,-0.390273601,0.999998689,0.582285762,0.506625354,0.043962672,0.99998033,0.356694877,0.495044231,-0.105940297,0.999988317,0.735684991,0.535699129,-0.007067346,0.999531031,0.20250532,0.510458887,-0.523692489,0.999887228,0.823792458,0.363028824,-0.305357605,0.99946028,0.115990222,0.365205646,-1.235664845,0.999836802,0.849579334,0.314652622,-0.363989055,0.997357011,0.085756183,0.309874415,-1.352253199,0.99906069,0.843052268,0.302802503,-0.392134458,0.997465968,0.103763878,0.300589919,-1.378117681,0.999105632,0.831062675,0.314396083,-0.332768738,0.997736931,0.118103504,0.317336679,-1.268556595,0.999168396,0.543177426,0.998153329,0.029428992,0.986024559,0.399253637,0.996715367,-0.027770484,0.98609215,0.544595838,1.415672064,-0.046924453,0.076634638,0.382558376,1.405180454,-0.087727644,0.058649361,0.538144469,1.799105167,0.152708426,0.001526629,0.381107569,1.799980879,-0.028933685,0.002456344,0.541999519,1.84548068,0.153260306,0.002121613,0.378238261,1.849740148,-0.037077833,0.003202735,0.505189896,1.913256407,-0.189521924,0.000885657,0.404442221,1.916731954,-0.424770445,0.001970871
straight_ahead,0.476811796,0.357207835,-0.492654175,0.999998093,0.488211483,0.324447781,-0.45562464,0.999996245,0.496424109,0.325053334,-0.455652475,0.999995708,0.503788829,0.326030314,-0.455652863,0.999994993,0.459530979,0.323799908,-0.460260302,0.999997258,0.449014038,0.324276507,-0.460215479,0.999997497,0.43844381,0.325383097,-0.460367113,0.999997497,0.512755752,0.338878304,-0.181994349,0.999997139,0.420952141,0.336351663,-0.199660957,0.999999106,0.492578566,0.391795576,-0.390252769,0.999998331,0.457827479,0.391022265,-0.396287858,0.999998629,0.582271993,0.506587148,0.010434726,0.999980688,0.356423825,0.495516479,-0.096511371,0.999986589,0.737778962,0.533079565,-0.041358538,0.99956435,0.201973155,0.508624256,-0.294225544,0.999887288,0.82170105,0.344582111,-0.32258141,0.99946785,0.113927558,0.347580701,-0.708722472,0.999784708,0.84623307,0.298329026,-0.385011971,0.997333407,0.08679089,0.29416123,-0.795738339,0.998715639,0.839137256,0.282076955,-0.406007379,0.997438192,0.103665993,0.282734424,-0.821037173,0.998786271,0.829078019,0.295948714,-0.348246306,0.997730672,0.116368368,0.303052634,-0.738416135,0.998912156,0.540357232,0.993627429,0.02530768,0.984902143,0.397851765,0.993775427,-0.023430182,0.984396875,0.539106488,1.389514208,-0.046922389,0.078518651,0.38176325,1.382677197,-0.057489902,0.061466116,0.53355974,1.746788383,0.160567299,0.001544813,0.379591286,1.752630472,0.014820854,0.002583642,0.537844419,1.789407492,0.163747817,0.002226109,0.376800478,1.800496697,0.00852025,0.003507594,0.501694381,1.85895884,-0.163826808,0.000901693,0.40129599,1.862132668,-0.357646674,0.002114455
straight_ahead,0.477548361,0.355537355,-0.493225813,0.999998033,0.488222659,0.322962552,-0.455607802,0.999996066,0.496394247,0.323164999,-0.455632746,0.99999547,0.503574669,0.323795497,-0.455631882,0.999994874,0.460094124,0.323004574,-0.45904693,0.99999702,0.450077534,0.323684901,-0.458985239,0.999997199,0.439877927,0.325043559,-0.459143221,0.999997258,0.511646271,0.336706519,-0.18982482,0.99999702,0.421313137,0.336449772,-0.1943838,0.999998987,0.492723137,0.390901625,-0.395597547,0.999998271,0.458695412,0.390588254,-0.397255659,0.999998569,0.582271934,0.506510973,-0.01123094,0.999980986,0.356429994,0.498295426,-0.065895692,0.999985695,0.738745749,0.530144036,-0.072785698,0.999597669,0.202040151,0.507208645,-0.220275,0.999892473,0.799659729,0.318956435,-0.346203029,0.99948591,0.136925519,0.321154565,-0.606007874,0.999770701,0.817517579,0.274860024,-0.415003628,0.997354746,0.111853004,0.263046175,-0.698317647,0.998565912,0.804968953,0.257463932,-0.423939407,0.997440159,0.124560788,0.251421243,-0.71211797,0.998636007,0.795102715,0.270217001,-0.36702475,0.997745156,0.136429995,0.2735219,-0.63216424,0.998792589,0.538279653,0.991842508,0.006591958,0.984349191,0.396650493,0.992172122,-0.004459283,0.983734727,0.53490603,1.379991651,-0.062851451,0.075725317,0.380803168,1.371803164,-0.041287847,0.059787124,0.525698543,1.733918309,0.157885402,0.001480094,0.377632916,1.733239889,0.033107437,0.002468031,0.530749202,1.776432276,0.162486836,0.002193424,0.375101894,1.779666185,0.027426556,0.003489148,0.492566526,1.844322562,-0.167549685,0.000861185,0.39596501,1.844304323,-0.336096168,0.002049754
straight_ahead,0.477534831,0.351629198,-0.482488483,0.999997675,0.488187611,0.319490522,-0.440204471,0.999995649,0.49638018,0.319449514,-0.440120995,0.999994814,0.503542781,0.319787055,-0.440114319,0.999994397,0.459894896,0.319765627,-0.440657914,0.999996722,0.449806064,0.320409626,-0.44062838,0.999996781,0.439610392,0.32189253,-0.440879196,0.99999702,0.511533141,0.333307207,-0.185965046,0.999996603,0.421244442,0.336357504,-0.178019658,0.999998808,0.492783636,0.387019664,-0.392039239,0.999997914,0.458643198,0.387248784,-0.390678942,0.999998271,0.582252145,0.50616765,-0.013043875,0.999976575,0.35654515,0.501606226,-0.073273644,0.999982774,0.740324795,0.526537001,-0.101104304,0.999603331,0.202082232,0.507174432,-0.240139484,0.999893665,0.759201169,0.298592448,-0.291323721,0.999452412,0.183107331,0.298891902,-0.879638374,0.999725342,0.764333606,0.253600091,-0.33471787,0.997039378,0.169973493,0.247286409,-0.985544205,0.998133004,0.749657989,0.239977285,-0.31209296,0.99703604,0.184998602,0.237210929,-0.959410667,0.998143673,0.742957234,0.253812492,-0.292339861,0.997357488,0.192507595,0.256129473,-0.892418504,0.998339057,0.538362324,0.991744637,0.004941099,0.983066797,0.396481067,0.99185425,-0.00301674,0.982775033,0.535112083,1.377050281,-0.062540494,0.072125956,0.381154716,1.370069504,-0.046159945,0.057075385,0.526455045,1.724982619,0.158010587,0.001454381,0.379830867,1.723409653,0.024885232,0.002404469,0.531087101,1.769453645,0.16212742,0.002129661,0.37831071,1.769269824,0.019634111,0.003487799,0.493151277,1.833173633,-0.155770689,0.000838677,0.396105736,1.837121606,-0.325005114,0.002009319
straight_ahead,0.474759102,0.350889474,-0.544163883,0.999996543,0.486736715,0.319102883,-0.496686995,0.99999404,0.495542198,0.319001168,-0.496554196,0.999992907,0.50313729,0.319293648,-0.496486604,0.999992549,0.457517713,0.319563687,-0.492129177,0.99999547,0.447250187,0.320263743,-0.492174059,0.99999547,0.436972857,0.321820408,-0.492433965,0.999995887,0.511548758,0.332725197,-0.226828247,0.999995172,0.419944137,0.337364525,-0.200275093,0.999998033,0.492520809,0.386130303,-0.449497879,0.999996781,0.457608461,0.386443645,-0.443310648,0.999997199,0.582182229,0.503976285,-0.086835489,0.999964237,0.356634378,0.505603254,-0.073585369,0.999970615,0.744163096,0.516502023,-0.296650618,0.999583185,0.200851992,0.507403553,-0.459563673,0.999875784,0.706122816,0.297233433,-0.50936687,0.999384224,0.218701795,0.295141906,-0.992323697,0.999634624,0.701815367,0.249140024,-0.56850034,0.996491015,0.216824695,0.245335981,-1.115365148,0.997515738,0.684351504,0.241770253,-0.520844102,0.996308625,0.235385582,0.241034001,-1.064213514,0.997426212,0.680046201,0.257573396,-0.500134408,0.996618748,0.240850091,0.259806573,-0.912327111,0.997660398,0.538550794,0.990630269,-0.013805635,0.978280842,0.396789014,0.991602719,0.015493344,0.978991091,0.535359383,1.374085665,-0.054106504,0.068794236,0.385295212,1.369851947,0.013018464,0.054106284,0.526968539,1.717489123,0.18355611,0.001547858,0.386591226,1.714694977,0.152993947,0.002338536,0.53450793,1.763172269,0.187776566,0.002196043,0.386966288,1.75888145,0.15494512,0.003556985,0.493812174,1.819759965,-0.129517719,0.000848618,0.397510797,1.826793551,-0.185895443,0.002014627
straight_ahead,0.473853171,0.35099417,-0.492024601,0.999995887,0.486293137,0.319263548,-0.447531134,0.999993026,0.495261729,0.319127172,-0.447228253,0.999991536,0.503109753,0.31941244,-0.447149336,0.999991477,0.456855297,0.31980148,-0.435637802,0.999994695,0.446382761,0.320684165,-0.435662657,0.999994576,0.435964674,0.322547883,-0.435920626,0.999995291,0.511712193,0.332818717,-0.20651111,0.999994397,0.419175565,0.339608729,-0.144602448,0.999997556,0.492378563,0.386680275,-0.412503064,0.999996066,0.456869751,0.38683641,-0.393043429,0.999996543,0.580693543,0.501561522,-0.074426092,0.999957323,0.356708199,0.50599432,-0.017177664,0.999966621,0.744042337,0.515760481,-0.282684624,0.999578118,0.200660899,0.507907331,-0.397234261,0.999860168,0.673080206,0.304475218,-0.422130495,0.999202013,0.259758472,0.304222971,-0.789922655,0.999482691,0.660336852,0.257649273,-0.484058559,0.994898617,0.270213842,0.253121257,-0.879062474,0.996429682,0.644195437,0.24485597,-0.405287892,0.994176567,0.286559939,0.242970929,-0.803733647,0.996076167,0.641101837,0.263520628,-0.485180199,0.994581819,0.291506559,0.266590178,-0.775659084,0.996472836,0.538617134,0.989757776,-0.040480517,0.975118518,0.396798134,0.991380453,0.042180121,0.976548791,0.53509891,1.36802423,-0.095756203,0.0652982,0.390752137,1.368245363,0.075377487,0.050576687,0.528024375,1.713918805,0.113869533,0.001537874,0.392816365,1.707218766,0.225299999,0.002225983,0.538532138,1.761067867,0.115357757,0.002114435,0.392576993,1.751545787,0.229957104,0.003452495,0.494301021,1.81458509,-0.198835015,0.000824782,0.397980183,1.81581521,-0.099739268,0.001942662
straight_ahead,0.473821491,0.351087719,-0.429976851,0.999995589,0.486268759,0.319471687,-0.384366959,0.99999249,0.495253861,0.31932053,-0.384091198,0.999990702,0.503116727,0.319635987,-0.384012491,0.99999094,0.456741184,0.319996238,-0.379094273,0.999994338,0.446139246,0.320940524,-0.379105628,0.999994159,0.43554011,0.322992712,-0.379381239,0.999995112,0.511913657,0.333203644,-0.142741174,0.99999398,0.418399185,0.341030717,-0.110882521,0.999997377,0.492388159,0.387593567,-0.349236012,0.999995589,0.456628948,0.387397408,-0.34085089,0.999996245,0.57964325,0.500310242,-0.062137574,0.99995321,0.356556237,0.506627023,-0.013982743,0.999965072,0.744747341,0.516293526,-0.199986875,0.999577105,0.199781135,0.508483291,-0.393764943,0.999854743,0.664539158,0.306801409,-0.211189181,0.999049306,0.272396415,0.308608115,-0.724617779,0.999335349,0.649361074,0.261983514,-0.239377707,0.993345857,0.288552433,0.256271094,-0.807717443,0.995310426,0.633828282,0.251962334,-0.165520132,0.992022336,0.30315572,0.254347205,-0.725851238,0.994635284,0.630771041,0.276160866,-0.191798761,0.992670417,0.307180911,0.280217111,-0.71104461,0.995269895,0.539995313,0.988592148,-0.03111377,0.970233083,0.397464544,0.991389215,0.032909282,0.972509146,0.538731456,1.365542769,-0.091199152,0.061013296,0.396818459,1.368578672,0.053169232,0.046872973,0.536967218,1.714244366,0.102297723,0.001473484,0.398139417,1.709412217,0.176822677,0.00210174,0.548355401,1.761332393,0.102254018,0.001990401,0.396098793,1.753654599,0.178923219,0.003284483,0.507148623,1.817436457,-0.208411738,0.000790448,0.405100912,1.819938064,-0.151987642,0.001865683
straight_ahead,0.474407285,0.351614326,-0.481698692,0.999994874,0.486449152,0.320197254,-0.424949467,0.99999094,0.495341718,0.320112646,-0.424571663,0.999988854,0.503215015,0.320597112,-0.42449531,0.999989152,0.457099289,0.320374906,-0.424749911,0.999993145,0.446480691,0.321228504,-0.424924314,0.999993086,0.435739696,0.323294252,-0.425317526,0.999994278,0.511922657,0.334082156,-0.14518781,0.999992967,0.418104827,0.341962427,-0.131722808,0.999996901,0.492575496,0.389281332,-0.387746871,0.999994755,0.456863821,0.388197333,-0.387139976,0.999995589,0.578808367,0.499953479,-0.046375778,0.999948263,0.356373817,0.506535351,-0.024729412,0.999961495,0.744658768,0.516554773,-0.184793904,0.999570549,0.198265597,0.508251131,-0.459682137,0.999845088,0.663339972,0.31145972,-0.238254979,0.998880088,0.278034598,0.310615122,-0.835045457,0.999197304,0.647523522,0.262386024,-0.26922971,0.99180001,0.299290717,0.260815918,-0.927462459,0.99426353,0.632497847,0.261522114,-0.208230525,0.989988327,0.314496875,0.269193709,-0.851959825,0.993299484,0.629385173,0.28806898,-0.22055164,0.990749478,0.31665051,0.292793214,-0.825098872,0.994094551,0.540014684,0.98815769,-0.024602737,0.961183369,0.397432029,0.991399884,0.026394594,0.965200603,0.538808346,1.366556168,-0.07680048,0.057430726,0.396104991,1.368879676,0.027539453,0.043972868,0.537056446,1.713816762,0.139083683,0.001474235,0.396945894,1.711645365,0.134275645,0.002078346,0.547911167,1.760181785,0.140998527,0.001931575,0.394905508,1.756563663,0.1340321,0.003262351,0.507877469,1.818689346,-0.179535583,0.000790207,0.405115545,1.822131634,-0.213007286,0.001874353
straight_ahead,0.475249857,0.352223545,-0.528780282,0.999994338,0.486635357,0.320385039,-0.477594852,0.999990225,0.495381415,0.320257306,-0.477323294,0.9999879,0.503227353,0.3207286,-0.477232754,0.999988317,0.457881927,0.320506573,-0.476212114,0.999992549,0.447559834,0.32128346,-0.476279348,0.999992371,0.43683663,0.323307306,-0.476595223,0.999993742,0.511731327,0.33414495,-0.191746846,0.999992311,0.418082863,0.342123449,-0.176812828,0.999996483,0.492821395,0.389564097,-0.429755777,0.999994218,0.4579826,0.388301581,-0.427922875,0.999995112,0.578657091,0.50023818,-0.06997776,0.999941766,0.356350273,0.507209897,-0.057716977,0.999954998,0.74462384,0.515721619,-0.28350395,0.999556243,0.198142216,0.507118821,-0.5181306,0.999836504,0.683143079,0.313775599,-0.452540487,0.998818934,0.259861559,0.306282043,-0.990592003,0.999104857,0.674042821,0.264782339,-0.504742086,0.991287589,0.267131925,0.256575853,-1.097593546,0.993527353,0.657516956,0.262765348,-0.443572342,0.989327371,0.285758466,0.263620943,-1.017475843,0.992429852,0.654039204,0.28674984,-0.436784685,0.990021706,0.290393442,0.286295801,-0.981137276,0.99328351,0.539993644,0.988199353,-0.028288951,0.958932698,0.397089332,0.99140954,0.030019909,0.963659644,0.538478434,1.366964579,-0.04699637,0.055624254,0.395996779,1.368976235,0.079678133,0.041820493,0.537125468,1.711186171,0.205005005,0.001532263,0.396164358,1.708751202,0.280052781,0.002033759,0.547686696,1.75693047,0.210224479,0.001952655,0.394253433,1.752691865,0.289502382,0.003301967,0.507672429,1.816206455,-0.118207037,0.000792322,0.405070722,1.819765806,-0.057563506,0.001872058
straight_ahead,0.477552563,0.35267818,-0.577255368,0.999992669,0.488078535,0.320499569,-0.533628345,0.999988079,0.496321112,0.320383817,-0.533462107,0.999985337,0.503936112,0.320848972,-0.533418417,0.999985814,0.45943594,0.320538908,-0.528051972,0.999990761,0.448920429,0.321240574,-0.52805835,0.999990344,0.43821162,0.322998881,-0.5283373,0.999992013,0.511750519,0.334209263,-0.257314444,0.999990404,0.418452084,0.341580778,-0.223823473,0.999995351,0.493491113,0.389716595,-0.477895021,0.999993026,0.459087223,0.388404399,-0.470035613,0.99999392,0.578673422,0.50138253,-0.119344272,0.999930382,0.355960757,0.507767141,-0.078439489,0.999943495,0.744695663,0.516010702,-0.344218045,0.999524236,0.197400495,0.506654203,-0.494434893,0.999821663,0.693916082,0.306064785,-0.598755121,0.998812079,0.247102544,0.289766192,-1.009840369,0.999045193,0.686365962,0.25725168,-0.661385,0.991350234,0.248700649,0.244094312,-1.118675232,0.99313724,0.672957718,0.252471954,-0.618103087,0.989420414,0.265003324,0.246397778,-1.06082654,0.992032588,0.667668462,0.271544307,-0.591678858,0.990012586,0.272102445,0.263908178,-1.009351492,0.992871106,0.539881587,0.988561749,-0.037264798,0.955001712,0.396054506,0.99141717,0.038967527,0.960999906,0.53679496,1.367180705,-0.039253961,0.053169135,0.39135915,1.36845243,0.094571337,0.039659277,0.53537637,1.708296895,0.232162639,0.001662168,0.392649144,1.705896497,0.318868607,0.001976884,0.545967519,1.753029585,0.239938825,0.002099976,0.391724586,1.748910785,0.330008924,0.003420041,0.503249109,1.812870026,-0.092194036,0.000809384,0.40131554,1.817227125,-0.020480704,0.00187633
